ign,mousepad,keyboard,headset,monitor,mousepad_brand,keyboard_brand,headset_brand,monitor_brand
Kenzo,Endgame Gear MPC 890,unknown,unknown,unknown,Endgame,unknown,unknown,unknown
Keoz,VAXEE PA Winter22,Razer Huntsman V2 TKL,HyperX Cloud II,ZOWIE XL2546,VAXEE,Razer,HyperX,ZOWIE
Kephrii,Artisan FX Hien Soft,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro White,ASUS ROG SWIFT PG259QN,Artisan,Razer,Razer,ASUS
Khanada,Logitech G840,Wooting One,Logitech G Pro X Headset,ZOWIE XL2546,Logitech,Wooting,Logitech,ZOWIE
Kiles,VAXEE PA ZYGEN,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2540,VAXEE,Logitech,Logitech,ZOWIE
Kinstaar,Logitech G640,Logitech G Pro X Keyboard,Logitech G933,Acer Predator XB241H,Logitech,Logitech,Logitech,Acer
KioShiMa,HyperX Fury S Speed Edition,HyperX Alloy Elite,HyperX Cloud II,ZOWIE XL2540,HyperX,HyperX,HyperX,ZOWIE
Kiryache32,Glorious 3XL,SteelSeries Apex Pro TKL,HyperX Cloud II,ZOWIE XL2546,Glorious,SteelSeries,HyperX,ZOWIE
Kjaerbye,VAXEE PA FunSpark,SteelSeries Apex Pro TKL,SteelSeries Arctis Pro,ZOWIE XL2546,VAXEE,SteelSeries,SteelSeries,ZOWIE
Klaus,VAXEE PA Black,Razer Huntsman TE,Logitech G Pro X Wireless Headset,ZOWIE XL2546K,VAXEE,Razer,Logitech,ZOWIE
Krad,VAXEE PA Y22,Varmilo VA87M Summit,beyerdynamic MMX 300,ZOWIE XL2546K,VAXEE,Varmilo,beyerdynamic,ZOWIE
Kragie,ZOWIE GTF-X,SteelSeries Apex 7 TKL,SteelSeries Arctis Pro Wireless,ASUS ROG SWIFT PG258Q,ZOWIE,SteelSeries,SteelSeries,ASUS
Kreo,Inked Gaming Custom Mousepad,HK Gaming GK61,Logitech G Pro X Headset,ASUS ROG SWIFT PG258Q,Inked,HK,Logitech,ASUS
Krimbo,Corsair MM350 Champion Series,Corsair K70 RGB MK.2,Corsair HS80,ZOWIE XL2546K,Corsair,Corsair,Corsair,ZOWIE
