ign,mousepad,keyboard,headset,monitor,mousepad_brand,keyboard_brand,headset_brand,monitor_brand
Vorwenn,Artisan Ninja FX Zero Mid,Razer Huntsman TE,SteelSeries Arctis Prime,Alienware AW2518H,Artisan,Razer,SteelSeries,Alienware
WOOD7,Zowie G-SR-SE Rouge,Logitech G915 TKL,Logitech G Pro X Wireless Headset,ZOWIE XL2546K,Zowie,Logitech,Logitech,ZOWIE
Walco,ZOWIE G-SR,Ducky One 3 Mini Pure White,Sennheiser GAME ZERO,ZOWIE XL2546K,ZOWIE,Ducky,Sennheiser,ZOWIE
Wanted,Artisan Hayate Otsu XSoft,Ducky One 2 TKL,Apple EarPods,ZOWIE XL2540,Artisan,Ducky,Apple,ZOWIE
Wardell,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546,Logitech,Logitech,Logitech,ZOWIE
Will,Artisan Ninja FX Zero Mid,Ducky One 2 TKL White,EPOS H6PRO White,ZOWIE XL2546K,Artisan,Ducky,EPOS,ZOWIE
Wolfiez,unknown,unknown,HyperX Cloud Alpha,Omen X25F,unknown,unknown,HyperX,Omen
Wolfy,ZOWIE G-SR-SE Red,Logitech G Pro X Keyboard,HyperX Cloud II,ZOWIE XL2546,ZOWIE,Logitech,HyperX,ZOWIE
Woro2k,Razer Gigantus V2,Razer Huntsman Elite,HyperX Cloud II,ZOWIE XL2546,Razer,Razer,HyperX,ZOWIE
X5G7V,unknown,unknown,unknown,ZOWIE XL2546K,unknown,unknown,unknown,ZOWIE
XANTARES,Logitech G640,Corsair K70 RGB MK.2,Corsair Void RGB Elite White,ZOWIE XL2546K,Logitech,Corsair,Corsair,ZOWIE
XELLOW,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
Xand,VAXEE PA ZYGEN,Logitech G915 TKL,HyperX Cloud Alpha,ZOWIE XL2546K,VAXEE,Logitech,HyperX,ZOWIE
Xdll,SteelSeries QcK Edge,unknown,unknown,ZOWIE XL2546K,SteelSeries,unknown,unknown,ZOWIE
Xepher,Razer Gigantus,Razer Blackwidow Chroma TE V2,Razer Kraken Pro V2,HP OMEN 24.5″,Razer,Razer,Razer,HP
Xeppaa,SteelSeries QcK Heavy,HyperX Alloy Origins Core,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,HyperX,HyperX,ZOWIE
XigN,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud Revolver S,ZOWIE XL2546,SteelSeries,HyperX,HyperX,ZOWIE
Xizt,HyperX Fury S Speed Edition,HyperX Alloy Origins Core,HyperX Cloud Alpha,ZOWIE XL2540,HyperX,HyperX,HyperX,ZOWIE
Xyp9x,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
YEKINDAR,VAXEE PA Black,HyperX Alloy FPS RGB,HyperX Cloud II,ZOWIE XL2546K,VAXEE,HyperX,HyperX,ZOWIE
YukaF,Artisan Hayate Otsu XSoft,Ducky One 2 Mini Pure White,unknown,ZOWIE XL2546K,Artisan,Ducky,unknown,ZOWIE
Yuki,Razer Gigantus V2,Razer Huntsman Mini,Razer Hammerhead Pro V2,unknown,Razer,Razer,Razer,unknown
ZEDKO,VAXEE PA Winter 21,Xtrfy K4 TKL RGB,Xtrfy H2,ZOWIE XL2546K,VAXEE,Xtrfy,Xtrfy,ZOWIE
ZOREE,Logitech G640,Ducky One 2,HyperX Cloud II,ASUS ROG SWIFT PG259QN,Logitech,Ducky,HyperX,ASUS
ZachaREEE,ZOWIE G-SR-SE Deep Blue,Varmilo VA87M Summit,Sennheiser GAME ONE,ASUS ROG SWIFT PG258Q,ZOWIE,Varmilo,Sennheiser,ASUS
Zachmazer,HyperX Fury S Pro,Logitech G Pro X Keyboard,unknown,ZOWIE XL2546K,HyperX,Logitech,unknown,ZOWIE
Zander,Zowie G-SR-SE Rouge,Xtrfy K4 TKL RGB,HyperX Cloud II Wireless,ZOWIE XL2546,Zowie,Xtrfy,HyperX,ZOWIE
Zayt,ZOWIE G-SR-SE,Ducky One 2 Mini,beyerdynamic DT 990 Pro,Alienware AW2521H,ZOWIE,Ducky,beyerdynamic,Alienware
Zeek,Artisan FX Hien Soft,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2540,Artisan,Logitech,Logitech,ZOWIE
Zekken,Gamesense Radar,Wooting 60 HE,unknown,ZOWIE XL2546,Gamesense,Wooting,unknown,ZOWIE
Zellsis,Artisan Ninja FX Zero Soft,Gamesense Clutch,Sennheiser GAME ZERO,ZOWIE XL2546,Artisan,Gamesense,Sennheiser,ZOWIE
Zemie,unknown,Kraken Pro 60,HyperX Cloud II,Alienware AW2521HF,unknown,Kraken,HyperX,Alienware
Zero,Artisan Ninja FX Zero Soft,Custom Keyboard,beyerdynamic DT 900 Pro X,ZOWIE XL2546,Artisan,Custom,beyerdynamic,ZOWIE
Zest,ZOWIE G-SR,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro,ZOWIE XL2546K,ZOWIE,Razer,Razer,ZOWIE
Zeus,ZOWIE G-SR,HyperX Alloy FPS Pro,HyperX Cloud Flight,ZOWIE XL2540,ZOWIE,HyperX,HyperX,ZOWIE
ZexRow,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ASUS ROG SWIFT PG258Q,Logitech,Logitech,Logitech,ASUS
ZmjjKK,Artisan Ninja FX Zero Soft,unknown,unknown,ZOWIE XL2546K,Artisan,unknown,unknown,ZOWIE
Znorux,Corsair MM800 Polaris,Custom Keyboard,Corsair Virtuoso White,ZOWIE XL2546,Corsair,Custom,Corsair,ZOWIE
Zyphon,Zowie G-SR-SE Rouge,Razer BlackWidow V3 TKL,Razer BlackShark V2 Pro,AOC AG251FZ,Zowie,Razer,Razer,AOC
Zyppan,Zowie G-SR-SE Rouge,unknown,unknown,unknown,Zowie,unknown,unknown,unknown
ZywOo,Lethal Gaming Gear Saturn Pro Red,Wooting 60 HE,Corsair HS80,ZOWIE XL2546K,Lethal,Wooting,Corsair,ZOWIE
ableJ,SteelSeries QcK Heavy,HyperX Alloy FPS RGB,HyperX Cloud II,ZOWIE XL2540,SteelSeries,HyperX,HyperX,ZOWIE
aceu,ZOWIE G-SR-SE Deep Blue,Ducky One 2 TKL,Apple EarPods,ZOWIE XL2546,ZOWIE,Ducky,Apple,ZOWIE
acoR,ZOWIE G-SR,Razer Huntsman V2 TKL,Razer BlackShark V2,ZOWIE XL2546,ZOWIE,Razer,Razer,ZOWIE
adreN,Razer Gigantus,Razer Huntsman Elite,HyperX Cloud II,ZOWIE XL2540,Razer,Razer,HyperX,ZOWIE
adverso,X-raypad Aqua Control+,Varmilo VA87M Summit,HyperX Cloud II Wireless,unknown,X-raypad,Varmilo,HyperX,unknown
afro,HyperX Fury S Speed Edition,Cooler Master Masterkeys Pro S,Logitech G Pro X Headset,ZOWIE XL2546K,HyperX,Cooler,Logitech,ZOWIE
aimdll,ZOWIE G-SR,Razer BlackWidow Elite,HyperX Cloud II,ZOWIE XL2546K,ZOWIE,Razer,HyperX,ZOWIE
aizy,ZOWIE G-SR,HyperX Alloy FPS,Sennheiser GSP 600,ZOWIE XL2546,ZOWIE,HyperX,Sennheiser,ZOWIE
al0rante,Razer Gigantus V2,Razer Huntsman TE,Razer BlackShark V2,ZOWIE XL2546,Razer,Razer,Razer,ZOWIE
alex,VAXEE PA ZYGEN,Logitech G Pro X Keyboard,HyperX Cloud II,ZOWIE XL2546K,VAXEE,Logitech,HyperX,ZOWIE
aliStair,ZOWIE G-SR,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,ZOWIE,Logitech,Logitech,ZOWIE
allu,Logitech G640 ENCE Edition,Logitech G Pro Keyboard,Logitech G Pro X Headset,ASUS ROG SWIFT PG259QN,Logitech,Logitech,Logitech,ASUS
anarkez,VAXEE PA FunSpark,Custom Keyboard,Logitech G Pro X Headset,ZOWIE XL2546,VAXEE,Custom,Logitech,ZOWIE
apEX,ZOWIE G-SR-SE Dark Grey,Corsair K70 RGB MK.2,JBL Quantum One,ZOWIE XL2546K,ZOWIE,Corsair,JBL,ZOWIE
aproto,Razer Gigantus V2,Razer BlackWidow V3 TKL,HyperX Cloud II,ZOWIE XL2546K,Razer,Razer,HyperX,ZOWIE
aqua,Havit XXXL,SteelSeries Apex Pro TKL,Logitech G430,Alienware AW2518H,Havit,SteelSeries,Logitech,Alienware
arT,Esports Tiger Wuxiang 2 North Tortoise,HyperX Alloy FPS RGB,HyperX Cloud Revolver,ZOWIE XL2546K,Esports,HyperX,HyperX,ZOWIE
ardiis,Artisan FX Hien Soft,Logitech G Pro X Keyboard,Logitech G Pro X Headset,AOC AG251FZ2E,Artisan,Logitech,Logitech,AOC
arki,Corsair MM350 Champion Series,Ducky One 2 Mini,HyperX Cloud II,ZOWIE XL2546K,Corsair,Ducky,HyperX,ZOWIE
aspas,Artisan Ninja FX Zero Soft,Logitech G915 TKL White,HyperX Cloud II,ASUS TUF VG259QM,Artisan,Logitech,HyperX,ASUS
autimatic,Logitech G640,HyperX Alloy Origins Core,Logitech G Pro X Headset,ZOWIE XL2546S,Logitech,HyperX,Logitech,ZOWIE
b0RUP,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546,SteelSeries,HyperX,HyperX,ZOWIE
b0i,VAXEE PA ZYGEN,Ducky One 2,HyperX Cloud II,ZOWIE XL2540,VAXEE,Ducky,HyperX,ZOWIE
b1t,ZOWIE G-SR,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546,ZOWIE,Logitech,Logitech,ZOWIE
b4rtiN,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,HyperX,HyperX,ZOWIE
bLitz,ZOWIE G-SR,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546K,ZOWIE,HyperX,HyperX,ZOWIE
babybay,Zowie G-SR-SE Rouge,Logitech G Pro X Keyboard,HyperX Cloud Alpha,ZOWIE XL2546,Zowie,Logitech,HyperX,ZOWIE
balblna,ZOWIE G-SR-SE,Ozone Gaming Strike Battle,Sennheiser GSP 600,ZOWIE XL2546,ZOWIE,Ozone,Sennheiser,ZOWIE
bang,Logitech G640,Logitech G Pro Keyboard,Logitech G Pro X Headset,ASUS VG248QE,Logitech,Logitech,Logitech,ASUS
beastik,Xtrfy GP1,Xtrfy K4 TKL RGB,Xtrfy H2,ZOWIE XL2546K,Xtrfy,Xtrfy,Xtrfy,ZOWIE
benjyfishy,Gamesense Radar,Wooting 60 HE,beyerdynamic DT 700 PRO X,HP OMEN 24.5″,Gamesense,Wooting,beyerdynamic,HP
biguzera,HyperX Fury S Speed Edition,Razer Blackwidow TE,Sennheiser GAME ONE,ZOWIE XL2546K,HyperX,Razer,Sennheiser,ZOWIE
birdfromsky,unknown,Xtrfy K4 TKL RGB,HyperX Cloud II,ZOWIE XL2546K,unknown,Xtrfy,HyperX,ZOWIE
bit,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
blackoutz,Inked Gaming Custom Mousepad,SteelSeries Apex Pro Mini,beyerdynamic DT 990 Pro,ASUS ROG SWIFT PG259QN,Inked,SteelSeries,beyerdynamic,ASUS
blameF,Logitech G640,Logitech G512,Logitech G Pro X Headset,ZOWIE XL2540,Logitech,Logitech,Logitech,ZOWIE
blocker,Logitech G640,HyperX Alloy FPS,Sennheiser GSP 600,ZOWIE XL2546K,Logitech,HyperX,Sennheiser,ZOWIE
boX,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,Logitech,HyperX,ZOWIE
bodyy,Logitech G640,Logitech G810,Logitech G433,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
boltz,SteelSeries QcK+,Fallen Falcão-Peregrino V3,Fallen Morcego Preto,ZOWIE XL2546K,SteelSeries,Fallen,Fallen,ZOWIE
bondik,SteelSeries QcK Heavy,Xtrfy K2 RGB,HyperX Cloud II,ZOWIE XL2546,SteelSeries,Xtrfy,HyperX,ZOWIE
brax,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,Sennheiser HD 600,ZOWIE XL2546S,SteelSeries,Logitech,Sennheiser,ZOWIE
brnz4n,SteelSeries QcK Heavy,HyperX Alloy FPS Pro,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,HyperX,HyperX,ZOWIE
broky,Artisan Ninja FX Zero Soft,SteelSeries Apex 7 TKL Ghost,SteelSeries Arctis Pro Nova Wireless,ZOWIE XL2546,Artisan,SteelSeries,SteelSeries,ZOWIE
bubble,SteelSeries QcK Heavy,Xtrfy K2 RGB,Xtrfy H1,ZOWIE XL2546,SteelSeries,Xtrfy,Xtrfy,ZOWIE
buda,unknown,unknown,unknown,ZOWIE XL2546K,unknown,unknown,unknown,ZOWIE
buster,VAXEE PA P22,HyperX Alloy Elite 2,HyperX Cloud Alpha S,ZOWIE XL2546K,VAXEE,HyperX,HyperX,ZOWIE
byali,Logitech G640,Xtrfy K4 TKL RGB,Sennheiser GAME ZERO,ASUS ROG SWIFT PG259QN,Logitech,Xtrfy,Sennheiser,ASUS
cNed,SteelSeries QcK Heavy,Xtrfy K4 TKL RGB White,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,Xtrfy,HyperX,ZOWIE
cadiaN,SteelSeries QcK Heavy,Xtrfy K4 TKL RGB White,SteelSeries Arctis Pro,ZOWIE XL2546K,SteelSeries,Xtrfy,SteelSeries,ZOWIE
cajunb,SteelSeries QcK Heavy,Xtrfy K2 RGB White,Sennheiser GSP 600,ZOWIE XL2546,SteelSeries,Xtrfy,Sennheiser,ZOWIE
captainMo,ZOWIE G-SR,Xtrfy K4 TKL RGB,Sennheiser GAME ZERO,ZOWIE XL2546,ZOWIE,Xtrfy,Sennheiser,ZOWIE
cauanzin,VAXEE PA ZYGEN,Logitech G Pro X Keyboard,Razer BlackShark V2,ASUS TUF VG279QM,VAXEE,Logitech,Razer,ASUS
chelo,VAXEE PA FunSpark,Razer BlackWidow V3 Quartz,HyperX Cloud Alpha,ZOWIE XL2546,VAXEE,Razer,HyperX,ZOWIE
chocoTaco,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,Acer Predator XB241H,Logitech,Logitech,Logitech,Acer
chopper,ZOWIE G-SR-SE Deep Blue,Ducky One 2 TKL,HyperX Cloud II,ZOWIE XL2546K,ZOWIE,Ducky,HyperX,ZOWIE
clarityG,ZOWIE G-SR-SE Deep Blue,SteelSeries Apex Pro TKL,HyperX Cloud II,Alienware AW2518H,ZOWIE,SteelSeries,HyperX,Alienware
clax,Logitech G640,Logitech G Pro Keyboard,Logitech G Pro X Headset,ZOWIE XL2546,Logitech,Logitech,Logitech,ZOWIE
coldzera,VAXEE PA FunSpark V2,HyperX Alloy Elite,HyperX Cloud II Wireless,ZOWIE XL2546,VAXEE,HyperX,HyperX,ZOWIE
crashies,Razer Strider,Razer BlackWidow V3 TKL,Razer BlackShark V2,ZOWIE XL2546,Razer,Razer,Razer,ZOWIE
cromen,SteelSeries QcK Heavy,SteelSeries Apex M750,HyperX Cloud II,ZOWIE XL2540,SteelSeries,SteelSeries,HyperX,ZOWIE
crow,Esports Tiger EBA,Logitech G915 TKL,Logitech G Pro X Headset,ZOWIE XL2546K,Esports,Logitech,Logitech,ZOWIE
crush,ZOWIE G-SR-SE,Custom Keyboard,HyperX Cloud Alpha,ZOWIE XL2546,ZOWIE,Custom,HyperX,ZOWIE
curry,Artisan Ninja FX Zero XSoft,Ducky One 2 TKL,Logitech G Pro X Headset,ZOWIE XL2540,Artisan,Ducky,Logitech,ZOWIE
d3ffo,VAXEE PA ZYGEN,Logitech G Pro Keyboard,Sennheiser GAME ZERO,ZOWIE XL2546,VAXEE,Logitech,Sennheiser,ZOWIE
d4v41,SteelSeries QcK Heavy,HyperX Alloy FPS RGB,Razer Hammerhead Pro V2,ZOWIE XL2546,SteelSeries,HyperX,Razer,ZOWIE
dafran,Logitech G640,Corsair K65 TKL,Sennheiser GAME ZERO,Omen X25F,Logitech,Corsair,Sennheiser,Omen
danoco,Logitech G640,Ducky One 2 Mini,HyperX Cloud Alpha S,ZOWIE XL2546,Logitech,Ducky,HyperX,ZOWIE
dapr,ZOWIE G-SR-SE Deep Blue,Corsair K70 RGB TKL,HyperX Cloud II,ZOWIE XL2546,ZOWIE,Corsair,HyperX,ZOWIE
daps,SteelSeries QcK Heavy,HyperX Alloy Origins Core,beyerdynamic DT 770 Pro,HP OMEN X 27,SteelSeries,HyperX,beyerdynamic,HP
dav1d,ZOWIE G-SR,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,ZOWIE,Logitech,Logitech,ZOWIE
dav1g,VAXEE PA ZYGEN,Logitech G915 TKL White,HyperX Cloud II,ZOWIE XL2546K,VAXEE,Logitech,HyperX,ZOWIE
degster,ZOWIE G-SR,Razer Huntsman V2,HyperX Cloud II Wireless,ZOWIE XL2546K,ZOWIE,Razer,HyperX,ZOWIE
deko,ZOWIE G-SR-SE Deep Blue,Logitech G Pro Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,ZOWIE,Logitech,Logitech,ZOWIE
delz1k,VAXEE PA Black,HyperX Alloy FPS Pro,HyperX Cloud Flight,ZOWIE XL2546K,VAXEE,HyperX,HyperX,ZOWIE
denis,Corsair MM100,Ducky One 2,Corsair Void RGB Elite White,ZOWIE XL2540,Corsair,Ducky,Corsair,ZOWIE
dennis,Razer Gigantus Elite,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro,ASUS ROG SWIFT PG259QN,Razer,Razer,Razer,ASUS
dephh,Razer Gigantus V2,HyperX Alloy FPS,unknown,ZOWIE XL2411T,Razer,HyperX,unknown,ZOWIE
derrek,Zowie G-SR-SE Rouge,SteelSeries Apex 7 TKL Ghost,HyperX Cloud II,ZOWIE XL2546K,Zowie,SteelSeries,HyperX,ZOWIE
dev1ce,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546 Divina Pink,Logitech,Logitech,Logitech,ZOWIE
devoduvek,ZOWIE G-SR,ZOWIE Celeritas II,HyperX Cloud II,ZOWIE XL2546K,ZOWIE,ZOWIE,HyperX,ZOWIE
dexter,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2,ASUS ROG SWIFT PG259QN,Razer,Razer,Razer,ASUS
dgt,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,Logitech,HyperX,ZOWIE
dgzin,SkyPAD 3.0,HyperX Alloy Origins Core,unknown,ZOWIE XL2546K,SkyPAD,HyperX,unknown,ZOWIE
dicey,Artisan Ninja FX Zero Soft,Ducky One 2 Mini,Sennheiser GAME ONE,ZOWIE XL2546K,Artisan,Ducky,Sennheiser,ZOWIE
dimasick,Artisan Ninja FX Zero Soft,HyperX Alloy Origins,HyperX Cloud Alpha,ZOWIE XL2546,Artisan,HyperX,HyperX,ZOWIE
dooplex,Razer Strider,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro,MSI Optix G271,Razer,Razer,Razer,MSI
doto,Logitech G640 ENCE Edition,Logitech G Pro Keyboard,Logitech G Pro X Headset,ASUS ROG SWIFT PG259QN,Logitech,Logitech,Logitech,ASUS
draken,Xtrfy GP1 draken,Xtrfy K4 TKL RGB,HyperX Cloud II,ZOWIE XL2546K,Xtrfy,Xtrfy,HyperX,ZOWIE
drop,ZOWIE G-SR,Logitech G Pro X Keyboard,HyperX Cloud Alpha,ZOWIE XL2546K,ZOWIE,Logitech,HyperX,ZOWIE
dumau,Logitech G640,Razer Huntsman V2,Sennheiser GAME ZERO,ZOWIE XL2546K,Logitech,Razer,Sennheiser,ZOWIE
dupreeh,VAXEE PA Summer22,Logitech G Pro X Keyboard,Corsair HS80,ZOWIE XL2546,VAXEE,Logitech,Corsair,ZOWIE
dycha,Zowie G-SR-SE Rouge,Logitech G413,Logitech G Pro X Headset,ZOWIE XL2540,Zowie,Logitech,Logitech,ZOWIE
ec1s,ZOWIE G-SR-SE Sweden Edition,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546,ZOWIE,Logitech,Logitech,ZOWIE
eeiu,Artisan Hayate Otsu XSoft,unknown,unknown,ZOWIE XL2546,Artisan,unknown,unknown,ZOWIE
effys,Logitech G640,Razer Huntsman Mini,HyperX Cloud II Wireless,ZOWIE XL2546K,Logitech,Razer,HyperX,ZOWIE
electronic,Logitech G640,Logitech G915 TKL White,Logitech G Pro X Wireless Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
emi,ZOWIE G-SR-SE Deep Blue,Xtrfy K2 RGB,HyperX Cloud Flight S,ZOWIE XL2546K,ZOWIE,Xtrfy,HyperX,ZOWIE
eraa,unknown,unknown,unknown,ZOWIE XL2546K,unknown,unknown,unknown,ZOWIE
erkaSt,Xtrfy GP1,Xtrfy K2 RGB,HyperX Cloud II,ZOWIE XL2546K,Xtrfy,Xtrfy,HyperX,ZOWIE
es3tag,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
ethos,VAXEE PA ZYGEN,Custom Keyboard,HyperX Cloud II,ZOWIE XL2546,VAXEE,Custom,HyperX,ZOWIE
exit,ZOWIE G-SR,HyperX Alloy Origins Core,HyperX Cloud II,ZOWIE XL2546,ZOWIE,HyperX,HyperX,ZOWIE
f0rest,Xtrfy GPZ1,HyperX Alloy Origins,HyperX Cloud II Wireless,ZOWIE XL2546K,Xtrfy,HyperX,HyperX,ZOWIE
f0rsakeN,Logitech G740,HyperX Alloy Origins Core,HyperX Cloud II,ZOWIE XL2546K,Logitech,HyperX,HyperX,ZOWIE
fANDER,ZOWIE G-SR,Logitech G915 TKL,HyperX Cloud Alpha S,ZOWIE XL2546K,ZOWIE,Logitech,HyperX,ZOWIE
facecrack,ZOWIE G-SR-SE,Cooler Master Storm Rapid-I,HyperX Cloud II,ZOWIE XL2546,ZOWIE,Cooler,HyperX,ZOWIE
fame,Logitech G640,Xtrfy K4 TKL RGB White,HyperX Cloud II,ZOWIE XL2546K,Logitech,Xtrfy,HyperX,ZOWIE
faveN,Corsair MM250,Corsair K65 RGB MINI 60% White,Corsair Void Pro,ZOWIE XL2546,Corsair,Corsair,Corsair,ZOWIE
fear,Xtrfy GP4 Street Blue,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Xtrfy,Logitech,Logitech,ZOWIE
felps,Logitech G640,HyperX Alloy FPS,Fallen Morcego White,ZOWIE XL2546K,Logitech,HyperX,Fallen,ZOWIE
fer,SteelSeries QcK Heavy,Fallen Falcão-Peregrino V3,Bose QuietComfort 20,ZOWIE XL2546,SteelSeries,Fallen,Bose,ZOWIE
fitch,SteelSeries QcK+,SteelSeries Apex M500,HyperX Cloud Alpha,ZOWIE XL2540,SteelSeries,SteelSeries,HyperX,ZOWIE
fl0m,SteelSeries QcK Heavy,SteelSeries Apex M750,SteelSeries Arctis Nova Pro,Samsung Odyssey G7,SteelSeries,SteelSeries,SteelSeries,Samsung
flameZ,Lethal Gaming Gear Saturn,SteelSeries Apex Pro TKL,Logitech G Pro X Headset,ZOWIE XL2546,Lethal,SteelSeries,Logitech,ZOWIE
flamie,VAXEE PA ZYGEN,Logitech G915 TKL,Logitech G Pro X Headset,ZOWIE XL2546K,VAXEE,Logitech,Logitech,ZOWIE
floppy,Artisan Ninja FX Zero Soft,HyperX Alloy Origins Core,Sennheiser GSP 600,ZOWIE XL2546,Artisan,HyperX,Sennheiser,ZOWIE
flusha,VAXEE PA Y22,HyperX Alloy FPS Pro,Fnatic REACT,ZOWIE XL2540,VAXEE,HyperX,Fnatic,ZOWIE
fnx,ZOWIE G-SR-SE Deep Blue,Fallen Ace,Fallen Morcego Preto,AOC AG251FZ,ZOWIE,Fallen,Fallen,AOC
forsyy,unknown,unknown,unknown,ZOWIE XL2546K,unknown,unknown,unknown,ZOWIE
fostar,Hator Out of Space,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Hator,Logitech,Logitech,ZOWIE
fox,Custom Mousepad,Ozone Gaming Strike Pro,HyperX Cloud II,ZOWIE XL2546,Custom,Ozone,HyperX,ZOWIE
foxz,Logitech G640,Custom Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Custom,Logitech,ZOWIE
freakazoid,Gamesense Radar,Logitech G Pro X Keyboard,HyperX Cloud II,ZOWIE XL2546S,Gamesense,Logitech,HyperX,ZOWIE
friberg,HyperX Fury S Speed Edition,HyperX Alloy Origins,HyperX Cloud Alpha,ZOWIE XL2546,HyperX,HyperX,HyperX,ZOWIE
frozen,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2,ZOWIE XL2546,Razer,Razer,Razer,ZOWIE
frttt,HyperX Fury S Pro,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546K,HyperX,HyperX,HyperX,ZOWIE
gAuLeS,Razer Gigantus V2,Razer Huntsman Mini,Razer BlackShark V2,ZOWIE XL2546,Razer,Razer,Razer,ZOWIE
gade,ZOWIE G-SR,HyperX Alloy FPS,Corsair HS80,ZOWIE XL2546,ZOWIE,HyperX,Corsair,ZOWIE
gla1ve,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
governor,unknown,Ducky One 3 Mini,beyerdynamic DT 990 Pro,ZOWIE XL2740,unknown,Ducky,beyerdynamic,ZOWIE
gxx,unknown,Razer Huntsman V2,HyperX Cloud II,ZOWIE XL2546K,unknown,Razer,HyperX,ZOWIE
h4rn,HyperX Fury S Speed Edition,HyperX Alloy Origins,HyperX Cloud Alpha S,ZOWIE XL2546K,HyperX,HyperX,HyperX,ZOWIE
hAdji,Corsair MM200,Logitech G Pro Keyboard,Sennheiser GSP 600,ZOWIE XL2546,Corsair,Logitech,Sennheiser,ZOWIE
hades,ZOWIE G-SR,Logitech G915 TKL,Logitech G Pro X Headset,AlienWare AW2518HF,ZOWIE,Logitech,Logitech,AlienWare
hallzerk,HyperX Fury S Pro,HyperX Alloy Origins Core,HyperX Cloud Alpha,ZOWIE XL2546,HyperX,HyperX,HyperX,ZOWIE
hampus,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
hardzao,SteelSeries QcK Heavy,Razer BlackWidow V3 TKL,Razer Kraken 7.1 Mercury White Edition,ZOWIE XL2546K,SteelSeries,Razer,Razer,ZOWIE
hazed,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ASUS ROG SWIFT PG259QN,Logitech,Logitech,Logitech,ASUS
headtr1ck,Xtrfy GP4,unknown,unknown,ZOWIE XL2546K,Xtrfy,unknown,unknown,ZOWIE
honda,VAXEE PA FunSpark,HyperX Alloy Origins Core,HyperX Cloud II,Alienware AW2518H,VAXEE,HyperX,HyperX,Alienware
hoody,Logitech G640,unknown,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,unknown,Logitech,ZOWIE
huNter,Logitech G640,Logitech G715,Logitech G Pro X Headset,ZOWIE XL2546,Logitech,Logitech,Logitech,ZOWIE
hutji,ZOWIE G-SR,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546,ZOWIE,HyperX,HyperX,ZOWIE
