ign,name,age,age_range,birth,country,continent,team,game,edpi_ratio,mouse,mouse_brand,sense,hz,dpi,edpi,mousepad,keyboard,headset,monitor,mousepad_brand,keyboard_brand,headset_brand,monitor_brand
Marved,Jimmy Nguyen,22,20-24,2000-01-24,Canada,NA,Free Agent,VALORANT,3.18,Razer Viper V2 Pro White,Razer,0.306,1000.0,800.0,778.4639999999999,Artisan Hayate Otsu XSoft,Razer BlackWidow V3 TKL,Razer BlackShark V2,ZOWIE XL2540,Artisan,Razer,Razer,ZOWIE
phaze,Karim Fouad,20,20-24,2002-01-07,Egypt,AF,Team RA’AD,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.7,1000.0,400.0,890.4000000000001,ZOWIE G-SR-SE,Razer Huntsman V2 TKL,HyperX Cloud Alpha,ZOWIE XL2546K,ZOWIE,Razer,HyperX,ZOWIE
Suygetsu,Dmitry Ilyushin,20,20-24,2002-07-16,Russia,EU,Natus Vincere,VALORANT,3.18,ZOWIE EC2-C,ZOWIE,0.25,1000.0,800.0,636.0,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546,Logitech,Logitech,Logitech,ZOWIE
foxz,Itthirit Ngamsaard,23,20-24,1999-04-08,Thailand,AS,Talon Esports,VALORANT,3.18,Pulsar Xlite V2 Wireless,Pulsar,0.485,1000.0,800.0,1233.8400000000001,Logitech G640,Custom Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Custom,Logitech,ZOWIE
lyr1c,Lyric Quinonez,24,20-24,1998-05-11,United States,NA,eUnited,Apex,1.0,Logitech G Pro X Superlight White,Logitech,0.65,1000.0,1600.0,1040.0,ZOWIE G-SR-SE,Ducky One 2 Mini Pure White,Bose QuietComfort 20,ZOWIE XL2546,ZOWIE,Ducky,Bose,ZOWIE
sushiboys,Panyawat Subsiriroj,22,20-24,2000-11-06,Thailand,AS,Talon Esports,VALORANT,3.18,Logitech G Pro X Superlight Magenta,Logitech,0.37,1000.0,800.0,941.2800000000001,ZOWIE G-SR,Glorious GMMK Pro,Logitech G Pro X Headset,ZOWIE XL2546K,ZOWIE,Glorious,Logitech,ZOWIE
Xdll,Yuto Mizomori,17,15-19,2005-12-11,Japan,AS,SCARZ,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.285,1000.0,800.0,725.04,SteelSeries QcK Edge,unknown,unknown,ZOWIE XL2546K,SteelSeries,unknown,unknown,ZOWIE
mwzera,Leonardo Serrati,21,20-24,2001-06-30,Brazil,SA,FURIA,VALORANT,3.18,Razer Deathadder V3 Pro,Razer,0.346,1000.0,800.0,880.2239999999999,SteelSeries QcK Heavy,HyperX Alloy FPS Pro,Fallen Morcego Preto,ZOWIE XL2546K,SteelSeries,HyperX,Fallen,ZOWIE
Patiphan,Patiphan Chaiwong,19,15-19,2003-09-23,Thailand,AS,Talon Esports,VALORANT,3.18,Glorious Model O,Glorious,0.265,1000.0,800.0,674.1600000000001,Gamesense Radar,Custom Keyboard,Sennheiser GAME ZERO,ZOWIE XL2546,Gamesense,Custom,Sennheiser,ZOWIE
Cryocells,Matthew Panganiban,20,20-24,2002-12-22,United States,NA,100 Thieves,VALORANT,3.18,Logitech G Pro X Superlight Magenta,Logitech,0.3,1000.0,800.0,763.2,SWIPE SP-FROST,Ducky One 2 Mini,HyperX Cloud II,ZOWIE XL2546,SWIPE,Ducky,HyperX,ZOWIE
