ign,name,age,age_range,birth,country,continent,team,game,edpi_ratio,mouse,mouse_brand,sense,hz,dpi,edpi,mousepad,keyboard,headset,monitor,mousepad_brand,keyboard_brand,headset_brand,monitor_brand
CRUC1AL,Joey Steusel,25,25-29,1997-02-04,Netherlands,EU,Endpoint,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,2.5,500.0,400.0,1000.0,ZOWIE G-SR-SE,Corsair K63,HyperX Cloud Alpha,ZOWIE XL2546,ZOWIE,Corsair,HyperX,ZOWIE
rallen,Karol Radowicz,28,25-29,1994-06-08,Poland,EU,Free Agent,CS:GO,1.0,Logitech G Pro Wireless,Logitech,1.2,500.0,1800.0,2160.0,ZOWIE G-SR,Razer BlackWidow Chroma V2,HyperX Cloud Alpha,ZOWIE XL2540,ZOWIE,Razer,HyperX,ZOWIE
draken,William Sundin,27,25-29,1995-10-05,Sweden,EU,Into The Breach,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.9,1000.0,400.0,760.0,Xtrfy GP1 draken,Xtrfy K4 TKL RGB,HyperX Cloud II,ZOWIE XL2546K,Xtrfy,Xtrfy,HyperX,ZOWIE
w0nderful,Ihor Zhdanov,18,15-19,2004-12-14,Ukraine,EU,Team Spirit,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,3.09,1000.0,400.0,1236.0,ZOWIE G-SR-SE Deep Blue,Logitech G915 TKL,Logitech G Pro X Headset,ZOWIE XL2546K,ZOWIE,Logitech,Logitech,ZOWIE
nqz,Lucas Soares,17,15-19,2005-01-18,Brazil,SA,9z Team,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.2,1000.0,800.0,960.0,ZOWIE G-SR,HyperX Alloy FPS Pro,Logitech G Pro X Headset,ZOWIE XL2546,ZOWIE,HyperX,Logitech,ZOWIE
Nertz,Guy Iluz,23,20-24,1999-07-12,Israel,AS,Endpoint,CS:GO,1.0,ZOWIE EC3-C,ZOWIE,2.9,1000.0,400.0,1160.0,SteelSeries QcK Heavy,Logitech G915 TKL,HyperX Cloud II,ZOWIE XL2546,SteelSeries,Logitech,HyperX,ZOWIE
clax,Timur Sabirov,20,20-24,2002-06-08,Russia,EU,Free Agent,CS:GO,1.0,ZOWIE EC2-B,ZOWIE,2.2,1000.0,400.0,880.0000000000001,Logitech G640,Logitech G Pro Keyboard,Logitech G Pro X Headset,ZOWIE XL2546,Logitech,Logitech,Logitech,ZOWIE
ztr,Erik Gustafsson,19,15-19,2003-08-02,Sweden,EU,Young Ninjas,CS:GO,1.0,ZOWIE EC2-B,ZOWIE,1.75,1000.0,400.0,700.0,SteelSeries QcK Heavy,Xtrfy K4 TKL RGB,Logitech G Pro X Headset,AOC AG251FZ,SteelSeries,Xtrfy,Logitech,AOC
Lobanjica,Nikola Mijomanović,33,30-34,1989-09-15,Montenegro,EU,Content Creator,CS:GO,1.0,ZOWIE EC1 Tyloo,ZOWIE,1.7,1000.0,800.0,1360.0,ZOWIE G-SR,Razer Huntsman TE,Sennheiser Momentum Free,ZOWIE XL2540,ZOWIE,Razer,Sennheiser,ZOWIE
Pimp,Jacob Winneche,27,25-29,1995-07-31,Denmark,EU,Content Creator,CS:GO,1.0,SteelSeries Prime Wireless,SteelSeries,1.4,1000.0,800.0,1120.0,SteelSeries QcK Heavy,Xtrfy K4 TKL RGB White,SteelSeries Arctis 7,ZOWIE XL2546 Divina Blue,SteelSeries,Xtrfy,SteelSeries,ZOWIE
DemQQ,Serhii Demchenko,21,20-24,2001-05-23,Ukraine,EU,Monte,CS:GO,1.0,Logitech G403 HERO,Logitech,1.3,1000.0,800.0,1040.0,ZOWIE G-SR-SE Deep Blue,HyperX Alloy FPS,Logitech G Pro X Headset,ZOWIE XL2546,ZOWIE,HyperX,Logitech,ZOWIE
stfN,Stefan Seier,30,30-34,1992-11-11,Germany,EU,Free Agent,CS:GO,1.0,Glorious Model O White,Glorious,2.3,1000.0,400.0,919.9999999999999,ZOWIE G-SR-SE Deep Blue,Sharkoon Skiller SGK3,beyerdynamic MMX 300,ZOWIE XL2540,ZOWIE,Sharkoon,beyerdynamic,ZOWIE
SIXER,Cristophe Xia,31,30-34,1991-04-21,France,EU,Ambush Esports,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,2.3,1000.0,400.0,919.9999999999999,SteelSeries QcK Heavy,SteelSeries 6Gv2,HyperX Cloud II,ZOWIE XL2540,SteelSeries,SteelSeries,HyperX,ZOWIE
fitch,Bektiyar Bahytov,30,30-34,1992-07-15,Kazakhstan,AS,Golden Knights Gaming,CS:GO,1.0,ZOWIE EC2-A,ZOWIE,1.5,1000.0,400.0,600.0,SteelSeries QcK+,SteelSeries Apex M500,HyperX Cloud Alpha,ZOWIE XL2540,SteelSeries,SteelSeries,HyperX,ZOWIE
Almazer,Almaz Assadulin,24,20-24,1998-11-06,Russia,EU,Trident Clan,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,2.9,1000.0,400.0,1160.0,ZOWIE G-SR-SE Dark Grey,HyperX Alloy FPS,HyperX Cloud Alpha,ASUS ROG SWIFT PG259QN,ZOWIE,HyperX,HyperX,ASUS
HexT,Jadan Postma,21,20-24,2001-10-30,Canada,NA,Evil Geniuses,CS:GO,1.0,Razer Deathadder V3 Pro White,Razer,1.4,1000.0,400.0,560.0,ZOWIE G-SR,Logitech G Pro X Keyboard,HyperX Cloud II,ZOWIE XL2540,ZOWIE,Logitech,HyperX,ZOWIE
Nodios,Magnus Olsen,23,20-24,1999-05-07,Denmark,EU,TITANS,CS:GO,1.0,ZOWIE EC1-A,ZOWIE,1.51,1000.0,400.0,604.0,Razer Gigantus V2,Razer Huntsman Elite,HyperX Cloud II,ZOWIE XL2546K,Razer,Razer,HyperX,ZOWIE
Xand,Alexandre Zizi,27,25-29,1995-04-11,Brazil,SA,KRÜ Esports,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.51,1000.0,800.0,1297.44,VAXEE PA ZYGEN,Logitech G915 TKL,HyperX Cloud Alpha,ZOWIE XL2546K,VAXEE,Logitech,HyperX,ZOWIE
LogaN,Logan Corti,24,20-24,1998-06-18,France,EU,Team BDS,VALORANT,3.18,ZOWIE FK1,ZOWIE,0.534,1000.0,400.0,679.2480000000002,ZOWIE G-SR,SteelSeries Apex M500,HyperX Cloud II,ZOWIE XL2411T,ZOWIE,SteelSeries,HyperX,ZOWIE
xms,Alexandre Forté,25,25-29,1997-05-24,France,EU,Karmine Corp,VALORANT,3.18,Razer Viper V2 Pro,Razer,0.45,4000.0,800.0,1144.8,Logitech G640,Ducky One 2,HyperX Cloud II,ZOWIE XL2540,Logitech,Ducky,HyperX,ZOWIE
s1n,Elias Stein,20,20-24,2002-03-18,Germany,EU,BIG,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.8,1000.0,400.0,720.0,Corsair MM350 Champion Series,Ducky One 2 Mini Pure White,Corsair Void Pro,ZOWIE XL2546K,Corsair,Ducky,Corsair,ZOWIE
Annihilation,Tuvshintugs Nyamdorj,22,20-24,2000-01-25,Mongolia,AS,IHC Esports,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.65,1000.0,400.0,660.0,SteelSeries QcK+,HyperX Alloy Origins,HyperX Cloud Alpha S,ZOWIE XL2546K,SteelSeries,HyperX,HyperX,ZOWIE
fANDER,Ilya Bagrev,23,20-24,1999-06-02,Russia,EU,Content Creator,CS:GO,1.0,ZOWIE EC2,ZOWIE,1.4,1000.0,400.0,560.0,ZOWIE G-SR,Logitech G915 TKL,HyperX Cloud Alpha S,ZOWIE XL2546K,ZOWIE,Logitech,HyperX,ZOWIE
ngiN,Engin Kor,29,25-29,1993-05-27,Turkey,AS,Angry Titans,VALORANT,3.18,Razer Deathadder V3 Pro,Razer,0.244,1000.0,800.0,620.736,VAXEE PA Summer22,Razer BlackWidow V3 Pro,HyperX Cloud II,ZOWIE XL2540,VAXEE,Razer,HyperX,ZOWIE
Smithzz,Edouard Dubourdeaux,34,30-34,1988-12-17,France,EU,Content Creator,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,1.88,1000.0,400.0,752.0,Logitech G640,Logitech G513,Logitech G Pro X Headset,AOC AG251FZ,Logitech,Logitech,Logitech,AOC
DavCost,Vadim Vasilyev,26,25-29,1996-05-18,Russia,EU,Invictus Gaming,CS:GO,1.0,SteelSeries Rival 300,SteelSeries,1.1,1000.0,800.0,880.0000000000001,SteelSeries QcK Heavy,ZOWIE Celeritas II,HyperX Cloud II,ZOWIE XL2546,SteelSeries,ZOWIE,HyperX,ZOWIE
kinqie,Semyon Lisitsyn,31,30-34,1991-11-07,Russia,EU,Free Agent,CS:GO,1.0,Logitech G Pro Wireless,Logitech,1.25,1000.0,800.0,1000.0,ZOWIE G-SR-SE Red,ASUS ROG Claymore,HyperX Cloud II,ZOWIE XL2546,ZOWIE,ASUS,HyperX,ZOWIE
motm,Ian Hardy,23,20-24,1999-10-23,United States,NA,ATK,CS:GO,1.0,Razer Viper Ultimate,Razer,2.0,1000.0,400.0,800.0,ZOWIE G-SR,HyperX Alloy FPS,Sennheiser GAME ZERO,ZOWIE XL2546,ZOWIE,HyperX,Sennheiser,ZOWIE
svyat,Svyatoslav Dovbakh,28,25-29,1994-11-07,Russia,EU,Free Agent,CS:GO,1.0,Cooler Master MM530,Cooler,0.625,1000.0,1200.0,750.0,SteelSeries QcK Heavy,ASUS ROG Claymore,HyperX Cloud II,ZOWIE XL2546,SteelSeries,ASUS,HyperX,ZOWIE
Jackinho,Jack Mattson,23,20-24,1999-03-07,Sweden,EU,Free Agent,CS:GO,1.0,Logitech G Pro Wireless,Logitech,2.1,1000.0,400.0,840.0,Fnatic DASH,Fnatic miniSTREAK,Fnatic REACT,ZOWIE XL2546,Fnatic,Fnatic,Fnatic,ZOWIE
kory,Kornél Szedlár,24,20-24,1998-07-12,Hungary,EU,Sangal,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.5,1000.0,800.0,1200.0,Logitech G640,unknown,unknown,ZOWIE XL2546K,Logitech,unknown,unknown,ZOWIE
1mpala,Stefan Ailazian,23,20-24,1999-02-27,Ukraine,EU,S-Gaming,CS:GO,1.0,Xtrfy M42,Xtrfy,1.57,1000.0,1600.0,2512.0,Xtrfy GP4 Street Blue,Ducky One 2,HyperX Cloud Alpha,ASUS ROG SWIFT PG259QN,Xtrfy,Ducky,HyperX,ASUS
jR,Dmitriy Chervak,29,25-29,1993-10-22,Ukraine,EU,Run Or Die,CS:GO,1.0,ZOWIE EC1-B,ZOWIE,1.0,1000.0,800.0,800.0,ZOWIE G-SR-SE,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546,ZOWIE,HyperX,HyperX,ZOWIE
rAge,Dmitry Bolotov,25,25-29,1997-07-27,Ukraine,EU,Free Agent,CS:GO,1.0,Xtrfy M4,Xtrfy,3.8,1000.0,400.0,1520.0,Xtrfy GP1,Razer BlackWidow X Chroma Mercury,HyperX Cloud II,ZOWIE XL2546 Divina Blue,Xtrfy,Razer,HyperX,ZOWIE
JUGi,Jakob Hansen,25,25-29,1997-04-01,Denmark,EU,Fokus Clan,VALORANT,3.18,Razer Deathadder V3 Pro,Razer,0.251,1000.0,700.0,558.726,ZOWIE G-SR,SteelSeries Apex M500,Sennheiser GAME ZERO,ZOWIE XL2546,ZOWIE,SteelSeries,Sennheiser,ZOWIE
Moose,Kaleb Jayne,24,20-24,1998-03-19,Canada,NA,Shopify Rebellion,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.33,1000.0,800.0,839.5200000000001,Logitech G640,Cooler Master Masterkeys Pro S,HyperX Cloud II,ZOWIE XL2546,Logitech,Cooler,HyperX,ZOWIE
Mercury,Jingxiang Wang,22,20-24,2000-12-15,China,AS,Rare Atom,CS:GO,1.0,ZOWIE S2,ZOWIE,2.12,1000.0,400.0,848.0,ZOWIE G-SR,SteelSeries Apex Pro,HyperX Cloud II,ZOWIE XL2546K,ZOWIE,SteelSeries,HyperX,ZOWIE
Vexite,Declan Portelli,18,15-19,2004-09-05,Australia,OC,Grayhound Gaming,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,1.0,1000.0,1200.0,1200.0,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,Alienware AW2521H,Logitech,Logitech,Logitech,Alienware
joel,Joel Holmlund,18,15-19,2004-09-24,Sweden,EU,Free Agent,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,2.1,1000.0,400.0,840.0,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,SteelSeries,Logitech,Logitech,ZOWIE
erkaSt,Erdenetsogt Gantulga,27,25-29,1995-03-19,Mongolia,AS,Team NKT,CS:GO,1.0,ZOWIE EC3-C,ZOWIE,2.38,1000.0,400.0,952.0,Xtrfy GP1,Xtrfy K2 RGB,HyperX Cloud II,ZOWIE XL2546K,Xtrfy,Xtrfy,HyperX,ZOWIE
somebody,Haowen Xu,27,25-29,1995-07-03,China,AS,Content Creator,CS:GO,1.0,SteelSeries Sensei Ten,SteelSeries,1.77,1000.0,400.0,708.0,ZOWIE G-SR-SE TyLoo Edition,SteelSeries Apex Pro,HyperX Cloud Flight,ZOWIE XL2546K,ZOWIE,SteelSeries,HyperX,ZOWIE
Zeus,Danylo Teslenko,35,35-39,1987-10-08,Ukraine,EU,Retired,CS:GO,1.0,ZOWIE FK2,ZOWIE,0.43,1000.0,1600.0,688.0,ZOWIE G-SR,HyperX Alloy FPS Pro,HyperX Cloud Flight,ZOWIE XL2540,ZOWIE,HyperX,HyperX,ZOWIE
RpK,Cédric Guipouy,33,30-34,1989-08-12,France,EU,Retired,CS:GO,1.0,ZOWIE S2 Divina Blue,ZOWIE,1.35,1000.0,400.0,540.0,Corsair MM350 Champion Series,Corsair K70 RGB MK.2,Corsair HS50,ZOWIE XL2540,Corsair,Corsair,Corsair,ZOWIE
RUBINO,Ruben Villaroel,28,25-29,1994-03-21,Norway,EU,Free Agent,VALORANT,3.18,VAXEE ZYGEN NP-01,VAXEE,0.62,1000.0,400.0,788.64,Artisan Ninja FX Zero Soft,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546,Artisan,Logitech,Logitech,ZOWIE
jL,Justinas Lekavicius,23,20-24,1999-09-29,Lithuania,EU,Apeks,CS:GO,1.0,Razer Viper Ultimate,Razer,1.1,1000.0,800.0,880.0000000000001,Razer Gigantus V2,Razer BlackWidow V3 Pro,SteelSeries Arctis 7,Alienware AW2518H,Razer,Razer,SteelSeries,Alienware
Rock1nG,Ivan Stratiev,26,25-29,1996-08-19,Bulgaria,EU,allStars Gaming,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,1.8,1000.0,400.0,720.0,Logitech G640,Xtrfy K4 TKL RGB,HyperX Cloud II,ZOWIE XL2546,Logitech,Xtrfy,HyperX,ZOWIE
TMB,Thomas Bundsbæk,20,20-24,2002-02-03,Denmark,EU,Copenhagen Flames,CS:GO,1.0,ZOWIE EC3-C,ZOWIE,0.9,1000.0,800.0,720.0,Razer Gigantus V2,Razer Huntsman V2 TKL,EPOS H6PRO White,ZOWIE XL2546,Razer,Razer,EPOS,ZOWIE
S0TF1k,Dmitry Forostyanko,28,25-29,1994-09-29,Russia,EU,Team Spirit,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,0.95,1000.0,800.0,760.0,SteelSeries QcK Heavy,Corsair K70 RGB,Sennheiser GAME ZERO,ZOWIE XL2546,SteelSeries,Corsair,Sennheiser,ZOWIE
crush,Igor Shevchenko,27,25-29,1995-08-12,Ukraine,EU,Natus Vincere Jr.,CS:GO,1.0,ZOWIE EC2-B,ZOWIE,1.57,1000.0,400.0,628.0,ZOWIE G-SR-SE,Custom Keyboard,HyperX Cloud Alpha,ZOWIE XL2546,ZOWIE,Custom,HyperX,ZOWIE
kyuubii,Can Kamber,17,15-19,2005-03-16,Germany,EU,Sangal,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.15,1000.0,800.0,919.9999999999999,Endgame Gear MPJ450 Sprout,Logitech G Pro X Keyboard,EPOS GSP 500,ZOWIE XL2546K,Endgame,Logitech,EPOS,ZOWIE
Dimaoneshot,Dmitriy Bandurka,27,25-29,1995-01-27,Russia,EU,Free Agent,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,1.1,1000.0,800.0,880.0000000000001,VAXEE PA FunSpark,Xtrfy K2 RGB,Sennheiser GSP 600,ZOWIE XL2546K,VAXEE,Xtrfy,Sennheiser,ZOWIE
devoduvek,David Dobrosavljevic,28,25-29,1994-11-03,France,EU,Ambush Esports,CS:GO,1.0,ZOWIE EC2-B Divina Pink,ZOWIE,1.8,1000.0,400.0,720.0,ZOWIE G-SR,ZOWIE Celeritas II,HyperX Cloud II,ZOWIE XL2546K,ZOWIE,ZOWIE,HyperX,ZOWIE
blocker,Yanko Panov,23,20-24,1999-04-17,Bulgaria,EU,Free Agent,CS:GO,1.0,ZOWIE EC2-C,ZOWIE,1.75,1000.0,400.0,700.0,Logitech G640,HyperX Alloy FPS,Sennheiser GSP 600,ZOWIE XL2546K,Logitech,HyperX,Sennheiser,ZOWIE
MistR,Mikkel Thomsen,18,15-19,2004-04-22,Denmark,EU,Astralis Talent,CS:GO,1.0,Logitech G Pro X Superlight Magenta,Logitech,0.92,1000.0,600.0,552.0,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
CacaNito,Aleksandar Kjulukoski,22,20-24,2000-11-09,North Macedonia,EU,BLUEJAYS,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.5,1000.0,400.0,600.0,Logitech G640,Logitech G513,HyperX Cloud II,ZOWIE XL2546K,Logitech,Logitech,HyperX,ZOWIE
Soulfly,Caner Kesici,18,15-19,2004-06-16,Turkey,AS,Sangal,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.3,1000.0,800.0,1040.0,unknown,unknown,unknown,ZOWIE XL2546K,unknown,unknown,unknown,ZOWIE
kst,Francisco Fragoso,21,20-24,2001-11-12,Portugal,EU,For The Win Esports,CS:GO,1.0,ZOWIE EC1-A,ZOWIE,2.5,1000.0,400.0,1000.0,Fnatic DASH,Fnatic miniSTREAK,Fnatic REACT+,ZOWIE XL2546K,Fnatic,Fnatic,Fnatic,ZOWIE
Kaze,Andrew Khong,28,25-29,1994-07-22,Malaysia,AS,Rare Atom,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,0.4,1000.0,1600.0,640.0,X-raypad Aqua Control+,Corsair K70 RGB MK.2,HyperX Cloud Flight,ZOWIE XL2546K,X-raypad,Corsair,HyperX,ZOWIE
suNny,Miika Kemppi,28,25-29,1994-08-24,Finland,EU,Free Agent,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,0.825,1000.0,800.0,660.0,VAXEE PA ZYGEN,Logitech G Pro Keyboard,Logitech G Pro X Headset,ASUS ROG SWIFT PG259QN,VAXEE,Logitech,Logitech,ASUS
sausol,Pere Solsona Saumell,22,20-24,2000-05-31,Spain,EU,Movistar Riders,CS:GO,1.0,VAXEE ZYGEN NP-01,VAXEE,1.2,1000.0,800.0,960.0,Razer Gigantus V2,unknown,unknown,ZOWIE XL2546K,Razer,unknown,unknown,ZOWIE
lux,Lucas Meneghini,20,20-24,2002-04-18,Brazil,SA,Fluxo,CS:GO,1.0,VAXEE OUTSET AX,VAXEE,2.11,1000.0,400.0,844.0,X-raypad Aqua Control+,Razer Huntsman Mini,Fallen Morcego Preto,ZOWIE XL2546K,X-raypad,Razer,Fallen,ZOWIE
ZOREE,Lasse Uronen,29,25-29,1993-10-15,Finland,EU,JANO Esports,CS:GO,1.0,Zowie S1 Divina Pink,Zowie,2.0,1000.0,400.0,800.0,Logitech G640,Ducky One 2,HyperX Cloud II,ASUS ROG SWIFT PG259QN,Logitech,Ducky,HyperX,ASUS
Jeorge,Jeorge Endicott,19,15-19,2003-04-14,United States,NA,Evil Geniuses,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.55,1000.0,800.0,1240.0,Corsair MM350 Champion Series,HyperX Alloy Origins,HyperX Cloud II,ZOWIE XL2546K,Corsair,HyperX,HyperX,ZOWIE
seangares,Sean Gares,34,30-34,1988-06-10,United States,NA,100 Thieves,VALORANT,3.18,HyperX Pulsefire Haste,HyperX,0.315,1000.0,800.0,801.36,HyperX Fury S Pro,HyperX Alloy FPS,HyperX Cloud Alpha,ZOWIE XL2546,HyperX,HyperX,HyperX,ZOWIE
mertz,Daniel Mertz,24,20-24,1998-09-29,Denmark,EU,Free Agent,CS:GO,1.0,ZOWIE FK1,ZOWIE,2.4,1000.0,400.0,960.0,SteelSeries QcK Heavy,SteelSeries Apex M750 TKL,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,SteelSeries,HyperX,ZOWIE
fostar,Stanislav Ostashevskyi,22,20-24,2000-03-09,Ukraine,EU,Free Agent,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.34,1000.0,800.0,1072.0,Hator Out of Space,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Hator,Logitech,Logitech,ZOWIE
DEVIL,Timothée Démolon,28,25-29,1994-12-11,France,EU,The Dice,CS:GO,1.0,SteelSeries Sensei RAW,SteelSeries,0.67,1000.0,810.0,542.7,ZOWIE G-SR,Xtrfy K2 RGB,HyperX Cloud II,ZOWIE XL2546K,ZOWIE,Xtrfy,HyperX,ZOWIE
NEO,Filip Kubski,35,35-39,1987-06-15,Poland,EU,HONORIS,CS:GO,1.0,VAXEE OUTSET AX Glossy,VAXEE,0.96,1000.0,800.0,768.0,SteelSeries QcK Heavy,SteelSeries Apex M750 TKL,SteelSeries Arctis Pro White,ZOWIE XL2540,SteelSeries,SteelSeries,SteelSeries,ZOWIE
TaZ,Wiktor Wojtas,36,35-39,1986-07-06,Poland,EU,HONORIS,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,1.55,1000.0,400.0,620.0,SteelSeries QcK Heavy,SteelSeries Apex M750 TKL,Logitech G Pro X Headset,ZOWIE XL2540,SteelSeries,SteelSeries,Logitech,ZOWIE
ChrisJ,Chris de Jong,32,30-34,1990-05-25,Netherlands,EU,Free Agent,CS:GO,1.0,Dream Machines DM2 Comfy,Dream,1.19,1000.0,800.0,952.0,Razer Gigantus,Razer Blackwidow Chroma TE V2,Razer Kraken Pro V2,ZOWIE XL2546,Razer,Razer,Razer,ZOWIE
supra,Anton Tšernobai,22,20-24,2000-10-09,Estonia,EU,TITANS,CS:GO,1.0,Logitech G Pro X Superlight Magenta,Logitech,2.2,1000.0,400.0,880.0000000000001,SteelSeries QcK Heavy,Logitech G915 TKL,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,Logitech,HyperX,ZOWIE
innocent,Paweł Mocek,29,25-29,1993-12-20,Poland,EU,Anonymo,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,0.9,500.0,800.0,720.0,ZOWIE G-SR-SE Dark Grey,Logitech G Pro Keyboard,Logitech G Pro X Headset,ASUS ROG SWIFT PG259QN,ZOWIE,Logitech,Logitech,ASUS
Cooper,Austin Abadir,28,25-29,1994-05-29,United States,NA,Mythic,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.0,1000.0,800.0,800.0,HyperX Fury S Pro,Logitech G Pro Keyboard,HyperX Cloud II,ZOWIE XL2546,HyperX,Logitech,HyperX,ZOWIE
Lucaozy,Lucas Neves,21,20-24,2001-10-16,Brazil,SA,Fluxo,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,1.35,1000.0,400.0,540.0,Logitech G640,SteelSeries Apex Pro TKL,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,SteelSeries,Logitech,ZOWIE
xccurate,Kevin Susanto,24,20-24,1998-02-18,Indonesia,AS,Team NKT,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,3.0,1000.0,400.0,1200.0,SteelSeries QcK+,Logitech G Pro X Keyboard,Logitech G Pro X Wireless Headset,ZOWIE XL2546,SteelSeries,Logitech,Logitech,ZOWIE
iDISBALANCE,Artem Egorov,26,25-29,1996-12-17,Russia,EU,K23,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,1.35,1000.0,800.0,1080.0,Logitech G640,Logitech G Pro X Keyboard,Sennheiser GAME ZERO,ZOWIE XL2546K,Logitech,Logitech,Sennheiser,ZOWIE
FlipiN,Antonio Rivas Del Rey,35,35-39,1987-09-28,Spain,EU,Content Creator,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.3,1000.0,800.0,1040.0,AIM Gaming Alfombrilla,Logitech G Pro X Keyboard,AIM Gaming Auriculares,MSI OPTIX MAG251RX,AIM,Logitech,AIM,MSI
paz,Ahmet Karahoca,25,25-29,1997-04-24,Turkey,AS,Free Agent,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,2.4,1000.0,400.0,960.0,Zowie G-SR-SE Rouge,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546K,Zowie,HyperX,HyperX,ZOWIE
freakazoid,Ryan Abadir,30,30-34,1992-11-25,United States,NA,Mythic,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,1.78,1000.0,400.0,712.0,Gamesense Radar,Logitech G Pro X Keyboard,HyperX Cloud II,ZOWIE XL2546S,Gamesense,Logitech,HyperX,ZOWIE
z4kr,SiKe Zhang,20,20-24,2002-11-14,China,AS,Lynn Vision,CS:GO,1.0,ZOWIE S2 Divina Pink,ZOWIE,2.2,1000.0,400.0,880.0000000000001,Zowie G-SR-SE Rouge,unknown,HyperX Cloud II Gun Metal,ZOWIE XL2546K,Zowie,unknown,HyperX,ZOWIE
cromen,Jørgen Robertsen,27,25-29,1995-05-31,Norway,EU,Free Agent,CS:GO,1.0,ZOWIE EC2-B Divina Blue,ZOWIE,0.85,1000.0,800.0,680.0,SteelSeries QcK Heavy,SteelSeries Apex M750,HyperX Cloud II,ZOWIE XL2540,SteelSeries,SteelSeries,HyperX,ZOWIE
Golden,Maikil Selim,28,25-29,1994-02-02,Sweden,EU,Savage,CS:GO,1.0,ZOWIE EC2-A,ZOWIE,1.6,1000.0,400.0,640.0,Fnatic DASH,Fnatic STREAK,Fnatic REACT,ZOWIE XL2540,Fnatic,Fnatic,Fnatic,ZOWIE
DeStiNy,Lucas Bullo,25,25-29,1997-10-30,Brazil,SA,Isurus,CS:GO,1.0,Xtrfy M4,Xtrfy,2.0,1000.0,400.0,800.0,HyperX Fury S Pro,Razer BlackWidow X Chroma Mercury,HyperX Cloud Alpha,ZOWIE XL2546,HyperX,Razer,HyperX,ZOWIE
realzin,Antonio Oliviera,27,25-29,1995-07-01,Brazil,SA,B4,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,2.25,500.0,400.0,900.0,SteelSeries QcK Heavy,HyperX Alloy FPS Pro,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,HyperX,HyperX,ZOWIE
shz,Bruno Martinelli,24,20-24,1998-04-21,Brazil,SA,Los Grandes,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,1.25,1000.0,400.0,500.0,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546,SteelSeries,HyperX,HyperX,ZOWIE
zevy,Romeu Rocco,21,20-24,2001-05-30,Brazil,SA,paiN Gaming,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.6,1000.0,800.0,1280.0,ZOWIE G-SR-SE,Glorious GMMK TKL,HyperX Cloud Alpha S,ZOWIE XL2546K,ZOWIE,Glorious,HyperX,ZOWIE
