ign,name,age,age_range,birth,country,continent,team,game,edpi_ratio
NaToSaphiX,Niels Christian Sillassen,26,25-29,1996-08-17,Denmark,EU,Free Agent,CS:GO,1.0
oBo,Owen Schlatter,19,15-19,2003-06-26,United States,NA,Free Agent,CS:GO,1.0
HS,Kevin Tarn,26,25-29,1996-12-15,Estonia,EU,Free Agent,CS:GO,1.0
Edward,Ioann Sukhariev,35,35-39,1987-12-28,Ukraine,EU,Free Agent,CS:GO,1.0
Xizt,Richard Landström,31,30-34,1991-02-22,Sweden,EU,Heroic,CS:GO,1.0
MICHU,Michał Müller,26,25-29,1996-12-29,Poland,EU,Benched Heroes,CS:GO,1.0
doto,Joonas Forss,26,25-29,1996-02-18,Finland,EU,HAVU,CS:GO,1.0
keiz,Ruann Rotondano,21,20-24,2001-07-22,Brazil,SA,Team oNe eSports,CS:GO,1.0
waterfaLLZ,Nikita Matveyev,27,25-29,1995-06-18,Russia,EU,Free Agent,CS:GO,1.0
Senoxe,Adam Lau,23,20-24,1999-08-10,Canada,NA,Sentinels,Apex,1.0
kRYSTAL,Kevin Amend,29,25-29,1993-07-23,Germany,EU,Free Agent,CS:GO,1.0
gAuLeS,Alexandre Chiqueta,39,35-39,1983-12-02,Brazil,SA,Content Creator,CS:GO,1.0
hutji,Pavel Lashkov,27,25-29,1995-09-13,Russia,EU,Free Agent,CS:GO,1.0
bit,Bruno Lima,32,30-34,1990-07-16,Brazil,SA,MIBR,CS:GO,1.0
ISSAA,Issa Murad,26,25-29,1996-12-23,Jordan,AS,Free Agent,CS:GO,1.0
kyxsan,Damjan Stoilkovski,22,20-24,2000-05-26,North Macedonia,EU,Apeks,CS:GO,1.0
smooya,Owen Butterfield,23,20-24,1999-08-16,United Kingdom,EU,Benched Heroes,CS:GO,1.0
KrizzeN,Aidyn Turlybekov,23,20-24,1999-09-24,Kazakhstan,AS,Free Agent,CS:GO,1.0
emi,Luka Vukovic,29,25-29,1993-09-05,Serbia,EU,Partizan Esports,CS:GO,1.0
phr,Tomasz Wójcik,26,25-29,1996-09-26,Poland,EU,AGO,CS:GO,1.0
morelz,Piotr Taterka,28,25-29,1994-07-28,Poland,EU,Illuminar,CS:GO,1.0
mouz,Mikołaj Karolewski,27,25-29,1995-10-25,Poland,EU,Free Agent,CS:GO,1.0
GruBy,Dominik Świderski,27,25-29,1995-02-28,Poland,EU,UNGENTIUM,CS:GO,1.0
seized,Denis Kostin,28,25-29,1994-09-09,Russia,EU,9 Pandas,CS:GO,1.0
GuardiaN,Ladislav Kovács,31,30-34,1991-07-09,Slovakia,EU,Free Agent,CS:GO,1.0
xertioN,Dorian Berman,18,15-19,2004-07-22,Israel,AS,MOUZ,CS:GO,1.0
kolor,Ádám Domoszlay,23,20-24,1999-10-26,Hungary,EU,Free Agent,CS:GO,1.0
CRUC1AL,Joey Steusel,25,25-29,1997-02-04,Netherlands,EU,Endpoint,CS:GO,1.0
rallen,Karol Radowicz,28,25-29,1994-06-08,Poland,EU,Free Agent,CS:GO,1.0
Surreal,Kia Man,26,25-29,1996-05-11,United Kingdom,EU,Endpoint,CS:GO,1.0
draken,William Sundin,27,25-29,1995-10-05,Sweden,EU,Into The Breach,CS:GO,1.0
w0nderful,Ihor Zhdanov,18,15-19,2004-12-14,Ukraine,EU,Team Spirit,CS:GO,1.0
nqz,Lucas Soares,17,15-19,2005-01-18,Brazil,SA,9z Team,CS:GO,1.0
Nertz,Guy Iluz,23,20-24,1999-07-12,Israel,AS,Endpoint,CS:GO,1.0
clax,Timur Sabirov,20,20-24,2002-06-08,Russia,EU,Free Agent,CS:GO,1.0
ztr,Erik Gustafsson,19,15-19,2003-08-02,Sweden,EU,Young Ninjas,CS:GO,1.0
Lobanjica,Nikola Mijomanović,33,30-34,1989-09-15,Montenegro,EU,Content Creator,CS:GO,1.0
Pimp,Jacob Winneche,27,25-29,1995-07-31,Denmark,EU,Content Creator,CS:GO,1.0
DemQQ,Serhii Demchenko,21,20-24,2001-05-23,Ukraine,EU,Monte,CS:GO,1.0
stfN,Stefan Seier,30,30-34,1992-11-11,Germany,EU,Free Agent,CS:GO,1.0
SIXER,Cristophe Xia,31,30-34,1991-04-21,France,EU,Ambush Esports,CS:GO,1.0
fitch,Bektiyar Bahytov,30,30-34,1992-07-15,Kazakhstan,AS,Golden Knights Gaming,CS:GO,1.0
Almazer,Almaz Assadulin,24,20-24,1998-11-06,Russia,EU,Trident Clan,CS:GO,1.0
HexT,Jadan Postma,21,20-24,2001-10-30,Canada,NA,Evil Geniuses,CS:GO,1.0
Nodios,Magnus Olsen,23,20-24,1999-05-07,Denmark,EU,TITANS,CS:GO,1.0
Xand,Alexandre Zizi,27,25-29,1995-04-11,Brazil,SA,KRÜ Esports,VALORANT,3.18
LogaN,Logan Corti,24,20-24,1998-06-18,France,EU,Team BDS,VALORANT,3.18
xms,Alexandre Forté,25,25-29,1997-05-24,France,EU,Karmine Corp,VALORANT,3.18
Raijin,Konstantin Trubarov,21,20-24,2001-01-07,Russia,EU,K23,CS:GO,1.0
buda,Nicolás Kramer,19,15-19,2003-02-24,Argentina,SA,9z Team,CS:GO,1.0
s1n,Elias Stein,20,20-24,2002-03-18,Germany,EU,BIG,CS:GO,1.0
Annihilation,Tuvshintugs Nyamdorj,22,20-24,2000-01-25,Mongolia,AS,IHC Esports,CS:GO,1.0
fANDER,Ilya Bagrev,23,20-24,1999-06-02,Russia,EU,Content Creator,CS:GO,1.0
ngiN,Engin Kor,29,25-29,1993-05-27,Turkey,AS,Angry Titans,VALORANT,3.18
Smithzz,Edouard Dubourdeaux,34,30-34,1988-12-17,France,EU,Content Creator,CS:GO,1.0
DavCost,Vadim Vasilyev,26,25-29,1996-05-18,Russia,EU,Invictus Gaming,CS:GO,1.0
